,Brand Name,Name of Product,Price,Return/Exchange,Expected Delivery,Product URL
24,-,-,899,-,-,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NDQwMzExOTE4MDE2Njc5OjE2NjkxMTM5NzA6c3BfbXRmOjIwMDMyNDQwNDc5Nzk4OjowOjo&url=%2FLUCHILA-Childrens-Instrument-Educational-Beginners%2Fdp%2FB09T3Q72CJ%2Fref%3Dsr_1_21_sspa%3Fkeywords%3DGuitar%26qid%3D1669113970%26qu%3DeyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%253D%253D%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
25,VAULT,Vault PA36 Parlor Acoustic Guitar Kit,"5,510",-,"Thursday, 24 November",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NDQwMzExOTE4MDE2Njc5OjE2NjkxMTM5NzA6c3BfbXRmOjIwMDkyNjI0MDIxNjk4OjowOjo&url=%2FVault-PA36-Parlor-Acoustic-Guitar%2Fdp%2FB0BJK1332J%2Fref%3Dsr_1_22_sspa%3Fkeywords%3DGuitar%26qid%3D1669113970%26qu%3DeyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%253D%253D%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
26,Blueberry,"Blueberry B40L, 40"" Acoustic Guitar Kit Inbuilt Truss Rod with Bag, Strap, One Pack Strings And Picks (Classic Maroon)","4,495",-,"Saturday, 26 November",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NDQwMzExOTE4MDE2Njc5OjE2NjkxMTM5NzA6c3BfbXRmOjIwMDc4MzM2ODg1MTk4OjowOjo&url=%2FBlueberry-Acoustic-Inbuilt-Strings-Classic%2Fdp%2FB09VLF8B8G%2Fref%3Dsr_1_23_sspa%3Fkeywords%3DGuitar%26qid%3D1669113970%26qu%3DeyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%253D%253D%26sr%3D8-23-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
27,Blueberry,"Blueberry B-D38, 38"" Acoustic Guitar Kit Inbuilt Truss Rod, with Bag, Strap, One Pack Strings And Picks (MAROON BROWN)","2,895",-,November 24 - 26,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NDQwMzExOTE4MDE2Njc5OjE2NjkxMTM5NzA6c3BfbXRmOjIwMDc4MzM2ODg1MDk4OjowOjo&url=%2FBlueberry-B-D38-Acoustic-Inbuilt-Strings%2Fdp%2FB0B74CSY9V%2Fref%3Dsr_1_24_sspa%3Fkeywords%3DGuitar%26qid%3D1669113970%26qu%3DeyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%253D%253D%26sr%3D8-24-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
28,-,-,"7,727",-,-,https://www.amazon.in/YAMAHA-NATURAL-CONCERT-CUTAWAY-GUITAR/dp/B08KW4DRKL/ref=sr_1_25?keywords=Guitar&qid=1669113970&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-25
29,-,-,90,-,-,https://www.amazon.in/JUAREZ-Acoustic-Guitar-String-JRGSE32/dp/B08MW1WPW5/ref=sr_1_26?keywords=Guitar&qid=1669113970&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-26
30,Blueberry,"Blueberry R-701 Gray, 6 String Right Handed Beginner Full Size Rosewood Fret board Electric Guitar with Bag, Strap, One Set of Strings and 2 Picks","5,999",-,"Saturday, 26 November",https://www.amazon.in/Blueberry-Beginner-Rosewood-Electric-Strings/dp/B0BLYP3Q6S/ref=sr_1_27?keywords=Guitar&qid=1669113970&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-27
31,-,-,429,-,-,https://www.amazon.in/Enterprise-Acoustic-Instrument-Educational-Beginners/dp/B0B46LBJQZ/ref=sr_1_28?keywords=Guitar&qid=1669113970&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-28
32,Medellin,"Medellin M38 carbon fiber body 38 Incheses Acoustic Guitar (Red) Durable Matt finish With hAndrest, strings, strap, bag, 3 Picks, capo, stAnd",-,-,"Saturday, 26 November",https://www.amazon.in/Medellin-carbn-fiber-guitar-38inch/dp/B09MSGVCDV/ref=sr_1_29?keywords=Guitar&qid=1669113970&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-29
33,-,-,"2,695",-,-,https://www.amazon.in/Blueberry-38C-Acoustic-Guitar-Strings/dp/B08KLMV4XX/ref=sr_1_30?keywords=Guitar&qid=1669113970&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-30
34,-,-,459,-,-,https://www.amazon.in/Creation-4-String-Instrument-Learning-Toy/dp/B0BD92RXDB/ref=sr_1_31?keywords=Guitar&qid=1669113970&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-31
35,VIBHA,"Vibha 17"" 4 String Acoustic Learning Guitar Toy for Kids, Musical Instrument Educational Guitar Toy for Beginners Kids Child (Pack of 1) (Multicolor)",449,7 Days Replacement,"Friday, 25 November",https://www.amazon.in/Acoustic-Instrument-Educational-Beginners-Multicolor/dp/B0BCZ9GQQP/ref=sr_1_32?keywords=Guitar&qid=1669113970&qu=eyJxc2MiOiI1Ljc4IiwicXNhIjoiNS4yNiIsInFzcCI6IjQuMDUifQ%3D%3D&sr=8-32
